"caso_id","llamante_descripcion","llamante_genero","llamante_vinculo_ninios_presentes","violencia_tipo","victima_edad","victima_rango_etario","victima_genero","victima_cantidad","agresor_cantidad","agresor_genero","agresor_relacion_victima","llamado_derivacion","llamado_fecha_hora","llamado_provincia","llamado_provincia_id"
"435598","Víctima","Femenino","Hermano/a","Física y psicológica","8","06 a 11 años","Femenino","2","1","Femenino","Madre","Llamante solicitó información y/o orientación","2021-05-01 01:34:00","Ciudad Autónoma de Buenos Aires","02"
"435599","Víctima","Femenino","No hay niñas/os","Psicológica","62","Más de 60 años","Femenino","0","1","Masculino","Ex pareja","No había móviles y/o Equipos para realizar la intervención","2021-05-01 10:10:00","Ciudad Autónoma de Buenos Aires","02"
"435601","Vecina/o","Femenino","Otro/a no familiar","Psicológica","7","06 a 11 años","Femenino","3","1","Femenino","Madre","No se desplazó un  Equipo móvil por tratarse de un caso fuera de CABA","2021-05-01 12:00:00","Ciudad Autónoma de Buenos Aires","02"
"435602","Familiar","Femenino","No hay niñas/os","Física y psicológica","20","18 a 29 años","Femenino","0","1","Masculino","Pareja","No se desplazó un  Equipo móvil por tratarse de un caso fuera de CABA","2021-05-01 12:28:00","Ciudad Autónoma de Buenos Aires","02"
"435214","Víctima","Femenino","Madre","Física y psicológica","Sin dato ","Sin dato ","Femenino","1","1","Masculino","Pareja","Llamante solicitó información y/o orientación","2021-05-01 12:36:00","Ciudad Autónoma de Buenos Aires","02"
"435603","Otra/o sobre una situación de conflicto familiar","Masculino","NS/NC","No aplica","Sin dato ","Sin dato ","NS/NC","0","0","NS/NC","NS/NC","Se trata de un conflicto familiar","2021-05-01 12:42:00","Ciudad Autónoma de Buenos Aires","02"
"435606","Familiar","Femenino","Otro familiar","Física y psicológica","Sin dato ","Sin dato ","Femenino","1","1","Femenino","Hermano/a","Llamante solicitó información y/o orientación","2021-05-01 12:59:00","Ciudad Autónoma de Buenos Aires","02"
"435331","Otro/a","Femenino","Otro/a no familiar","Psicológica","Sin dato ","Sin dato ","Femenino","1","1","Masculino","Padre","Llamante solicitó información y/o orientación","2021-05-01 13:05:00","Ciudad Autónoma de Buenos Aires","02"
"435607","Otro/a","Femenino","Otro/a no familiar","Psicológica","Sin dato ","Sin dato ","Femenino","1","1","NS/NC","Otro/a conviviente","Llamante solicitó información y/o orientación","2021-05-01 13:11:00","Ciudad Autónoma de Buenos Aires","02"
"435608","Otra/o sobre una situación de conflicto familiar","Femenino","Madre","No aplica","Sin dato ","Sin dato ","NS/NC","0","0","NS/NC","NS/NC","Se trata de un conflicto familiar","2021-05-01 13:15:00","Ciudad Autónoma de Buenos Aires","02"
"435596","Familiar","Femenino","Hermano/a","Psicológica","20","18 a 29 años","Femenino","1","1","Masculino","Padre","Llamante solicitó información y/o orientación","2021-05-01 13:22:00","Ciudad Autónoma de Buenos Aires","02"
"435609","Víctima","Femenino","NS/NC","Física y psicológica","19","18 a 29 años","Femenino","1","1","Masculino","Padre","Llamante solicitó información y/o orientación","2021-05-01 13:33:00","Ciudad Autónoma de Buenos Aires","02"
"434249","Víctima","Femenino","Madre","Económica y psicológica","Sin dato ","Sin dato ","Femenino","1","1","Masculino","Ex pareja","Llamante solicitó información y/o orientación","2021-05-01 13:40:00","Ciudad Autónoma de Buenos Aires","02"
"426631","Víctima","Femenino","Hermano/a","Psicológica","Sin dato ","Sin dato ","Femenino","1","1","Masculino","Hermano/a","Llamante solicitó información y/o orientación","2021-05-01 14:31:00","Ciudad Autónoma de Buenos Aires","02"
"435610","Otro/a","Femenino","NS/NC","Física y psicológica","15","12 a 17 años","Femenino","1","1","Masculino","Padre","Llamante solicitó información y/o orientación","2021-05-01 16:53:00","Ciudad Autónoma de Buenos Aires","02"
"435611","Comisaría","Femenino","Otro/a no familiar","Física y psicológica","22","18 a 29 años","Femenino","3","1","Masculino","Pareja","La víctima no aceptó la intervención del Equipo Móvil","2021-05-01 18:41:00","Ciudad Autónoma de Buenos Aires","02"
"435612","Víctima","Femenino","No hay niñas/os","Psicológica","Sin dato ","Sin dato ","Femenino","0","1","Masculino","Ex pareja","Llamante solicitó información y/o orientación","2021-05-01 19:07:00","Ciudad Autónoma de Buenos Aires","02"
"435609","Víctima","Femenino","NS/NC","Psicológica","20","18 a 29 años","Femenino","1","1","Masculino","Padre","Llamante solicitó información y/o orientación","2021-05-01 19:15:00","Ciudad Autónoma de Buenos Aires","02"
